IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.229.148.123,2082,0,false,ORD,North America,Chicago,18,0.00
18.142.160.137,2095,0,false,ORD,North America,Chicago,25,0.00
18.142.125.74,2095,0,false,ORD,North America,Chicago,28,0.00
13.229.148.123,2095,0,false,ORD,North America,Chicago,41,0.00
52.66.244.40,8080,0,false,ORD,North America,Chicago,50,0.00
43.204.114.222,2095,0,false,ORD,North America,Chicago,50,0.00
15.207.109.76,80,0,false,ORD,North America,Chicago,50,0.00
52.66.244.40,8443,0,false,ORD,North America,Chicago,50,0.00
13.234.75.51,2087,0,false,ORD,North America,Chicago,50,0.00
13.232.74.143,8443,0,false,ORD,North America,Chicago,50,0.00
13.234.75.51,2082,0,false,ORD,North America,Chicago,50,0.00
52.66.248.236,2082,0,false,ORD,North America,Chicago,50,0.00
52.66.244.40,2083,0,false,ORD,North America,Chicago,50,0.00
3.110.164.142,8080,0,false,ORD,North America,Chicago,50,0.00
13.201.81.130,443,0,false,ORD,North America,Chicago,50,0.00
15.207.109.76,8443,0,false,ORD,North America,Chicago,50,0.00
13.201.186.213,8880,0,false,ORD,North America,Chicago,50,0.00
43.204.114.222,2086,0,false,ORD,North America,Chicago,50,0.00
65.0.138.97,80,0,false,ORD,North America,Chicago,50,0.00
3.110.164.142,2095,0,false,ORD,North America,Chicago,50,0.00
43.204.114.222,8080,0,false,ORD,North America,Chicago,50,0.00
43.204.115.21,2095,80,false,ORD,North America,Chicago,50,0.00
3.110.176.176,2052,0,false,ORD,North America,Chicago,50,0.00
13.201.81.130,2087,0,false,ORD,North America,Chicago,50,0.00
15.207.14.136,8080,0,false,ORD,North America,Chicago,50,0.00
13.235.67.135,2053,0,false,ORD,North America,Chicago,50,0.00
15.206.84.157,443,0,false,ORD,North America,Chicago,50,0.00
52.66.244.40,2096,0,false,ORD,North America,Chicago,50,0.00
3.7.254.128,8443,0,false,ORD,North America,Chicago,51,0.00
15.206.84.157,80,0,false,ORD,North America,Chicago,51,0.00
52.66.244.40,8880,0,false,ORD,North America,Chicago,51,0.00
52.66.244.40,443,0,false,ORD,North America,Chicago,51,0.00
52.66.248.236,2083,0,false,ORD,North America,Chicago,51,0.00
43.204.114.222,2052,0,false,ORD,North America,Chicago,51,0.00
65.0.87.60,2083,0,false,ORD,North America,Chicago,51,0.00
43.204.114.222,80,0,false,ORD,North America,Chicago,51,0.00
3.110.164.142,2087,0,false,ORD,North America,Chicago,51,0.00
3.110.176.236,2087,80,false,ORD,North America,Chicago,51,0.00
13.234.75.51,443,0,false,ORD,North America,Chicago,51,0.00
52.66.243.88,2052,0,false,ORD,North America,Chicago,51,0.00
3.110.163.34,2096,0,false,ORD,North America,Chicago,51,0.00
13.201.186.213,2053,0,false,ORD,North America,Chicago,51,0.00
15.207.109.76,2083,0,false,ORD,North America,Chicago,51,0.00
13.201.81.130,2086,0,false,ORD,North America,Chicago,51,0.00
65.0.87.60,8080,0,false,ORD,North America,Chicago,51,0.00
15.207.109.76,2053,0,false,ORD,North America,Chicago,51,0.00
3.110.164.142,2052,0,false,ORD,North America,Chicago,51,0.00
3.7.254.128,2052,0,false,ORD,North America,Chicago,51,0.00
3.7.254.128,2096,0,false,ORD,North America,Chicago,51,0.00
15.207.14.136,2052,0,false,ORD,North America,Chicago,51,0.00
13.201.186.213,80,0,false,ORD,North America,Chicago,51,0.00
52.66.248.236,2096,0,false,ORD,North America,Chicago,51,0.00
3.110.176.176,2087,0,false,ORD,North America,Chicago,51,0.00
3.109.208.100,80,0,false,ORD,North America,Chicago,51,0.00
52.66.243.88,80,0,false,ORD,North America,Chicago,51,0.00
52.66.243.88,443,0,false,ORD,North America,Chicago,51,0.00
15.206.84.157,2086,0,false,ORD,North America,Chicago,51,0.00
3.7.254.128,2086,0,false,ORD,North America,Chicago,51,0.00
65.0.138.97,2086,0,false,ORD,North America,Chicago,51,0.00
43.204.114.222,443,0,false,ORD,North America,Chicago,51,0.00
52.66.8.202,2083,80,false,ORD,North America,Chicago,51,0.00
13.201.81.130,2083,0,false,ORD,North America,Chicago,51,0.00
65.0.87.60,2095,0,false,ORD,North America,Chicago,52,0.00
52.66.248.236,8443,0,false,ORD,North America,Chicago,52,0.00
3.109.208.100,443,0,false,ORD,North America,Chicago,52,0.00
52.66.248.236,2087,0,false,ORD,North America,Chicago,52,0.00
13.235.67.135,8080,0,false,ORD,North America,Chicago,52,0.00
65.0.87.60,443,0,false,ORD,North America,Chicago,52,0.00
65.0.87.60,80,0,false,ORD,North America,Chicago,52,0.00
3.110.164.142,443,0,false,ORD,North America,Chicago,52,0.00
13.201.81.130,8443,0,false,ORD,North America,Chicago,52,0.00
3.110.176.176,2096,0,false,ORD,North America,Chicago,52,0.00
3.110.163.34,2095,0,false,ORD,North America,Chicago,52,0.00
3.110.176.176,2053,0,false,ORD,North America,Chicago,53,0.00
13.127.194.125,80,0,false,ORD,North America,Chicago,53,0.00
3.109.208.100,8080,0,false,ORD,North America,Chicago,53,0.00
3.110.163.34,2086,0,false,ORD,North America,Chicago,53,0.00
15.206.84.157,2052,0,false,ORD,North America,Chicago,53,0.00
